CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Tenure Group,Actual Churn,Churn Probability,Predicted Churn,Churn Probability %,Risk Level,Recommended Action
5701-GUXDC,Female,No,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,2519,25-48 Months,0,0.2681297753968419,0,26.81,Low Risk,Monitor
7235-NXZCP,Male,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,5378,0-12 Months,1,0.8627284196993724,1,86.27,High Risk,Contract upgrade + Security offer
0668-OGMHD,Female,No,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,3766,13-24 Months,0,0.6176140422572689,0,61.76,Medium Risk,Monitor
2812-REYAT,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,5579,49+ Months,0,0.06990235336526368,0,6.99,Low Risk,Monitor
8779-YIQQA,Male,No,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,3243,13-24 Months,0,0.03653612239707559,0,3.65,Low Risk,Monitor
9701-CDXHR,Female,No,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,5187,49+ Months,0,0.46602991157395496,0,46.6,Medium Risk,Monitor
7130-CTCUS,Male,Yes,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,3324,13-24 Months,0,0.5079567273897609,0,50.8,Medium Risk,Monitor
1894-IGFSG,Female,No,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,3161,13-24 Months,1,0.7989122332706511,1,79.89,High Risk,Contract upgrade + Security offer
0871-URUWO,Male,No,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,2003,13-24 Months,1,0.8838486359764667,1,88.38,High Risk,Contract upgrade + Security offer
0057-QBUQH,Female,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,4797,25-48 Months,0,0.015367848323123162,0,1.54,Low Risk,Monitor
9611-CTWIH,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,3591,0-12 Months,1,0.9062920472440891,1,90.63,High Risk,Contract upgrade + Security offer
8058-DMYRU,Male,Yes,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,5232,49+ Months,0,0.6839243320143116,1,68.39,High Risk,Contract upgrade + Security offer
5351-QESIO,Male,No,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,4276,0-12 Months,0,0.3710370482856288,0,37.1,Low Risk,Monitor
4302-ZYFEL,Male,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,5366,49+ Months,0,0.006113697384088753,0,0.61,Low Risk,Monitor
6134-KWTBV,Male,No,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,5822,49+ Months,0,0.017697526307666543,0,1.77,Low Risk,Monitor
2034-GDRCN,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,4157,0-12 Months,1,0.9085579637863911,1,90.86,High Risk,Contract upgrade + Security offer
9544-PYPSJ,Female,Yes,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,5868,49+ Months,0,0.2249357877562807,0,22.49,Low Risk,Monitor
4208-UFFGW,Male,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,5900,0-12 Months,1,0.6386838044695571,1,63.87,High Risk,Contract upgrade + Security offer
9537-JALFH,Male,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,6058,49+ Months,0,0.002469140651814622,0,0.25,Low Risk,Monitor
4415-IJZTP,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,2016,0-12 Months,1,0.8924869480221903,1,89.25,High Risk,Contract upgrade + Security offer
4701-MLJPN,Male,No,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,2933,25-48 Months,1,0.4198526359256521,0,41.99,Medium Risk,Monitor
7515-LODFU,Male,Yes,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,4042,49+ Months,0,0.009210584213740242,0,0.92,Low Risk,Monitor
4927-WWOOZ,Male,No,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,4889,0-12 Months,0,0.9279903365416273,1,92.8,High Risk,Contract upgrade + Security offer
4067-HLYQI,Female,No,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,4860,25-48 Months,0,0.611058876359027,0,61.11,Medium Risk,Monitor
6184-DYUOB,Female,No,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,2941,0-12 Months,0,0.5628512932969792,0,56.29,Medium Risk,Monitor
9209-NWPGU,Male,No,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,5827,25-48 Months,0,0.1298949489470341,0,12.99,Low Risk,Monitor
9851-KIELU,Male,No,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,5803,0-12 Months,1,0.7698414321740775,1,76.98,High Risk,Contract upgrade + Payment review
3199-XGZCY,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.25,576.7,2332,0-12 Months,0,0.8671297490478662,1,86.71,High Risk,Contract upgrade + Security offer
4226-KKDON,Male,No,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,3804,0-12 Months,0,0.6595513965563528,1,65.96,High Risk,Contract upgrade + Security offer
1085-LDWAM,Female,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,5188,49+ Months,0,0.006008060676794472,0,0.6,Low Risk,Monitor
6825-UYPFK,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,2115,13-24 Months,1,0.6629729308595685,1,66.3,High Risk,Contract upgrade + Security offer
1767-CJKBA,Male,No,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,6025,49+ Months,0,0.015566377778189646,0,1.56,Low Risk,Monitor
7181-BQYBV,Female,No,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,4811,0-12 Months,1,0.922079070424295,1,92.21,High Risk,Contract upgrade + Tech Support
0178-CIIKR,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,5949,0-12 Months,0,0.4275980325996919,0,42.76,Medium Risk,Monitor
4256-ZWTZI,Female,No,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,2789,0-12 Months,0,0.2089152662812927,0,20.89,Low Risk,Monitor
9537-VHDTA,Female,No,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,3699,0-12 Months,0,0.1780035758046238,0,17.8,Low Risk,Monitor
2754-XBHTB,Female,No,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,3847,0-12 Months,1,0.816794156893418,1,81.68,High Risk,Contract upgrade + Security offer
5975-BAICR,Male,No,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5,2504,25-48 Months,0,0.05726603638464028,0,5.73,Low Risk,Monitor
3301-VKTGC,Male,No,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.5,5696.6,4380,49+ Months,0,0.04964529875354022,0,4.96,Low Risk,Monitor
2877-VDUER,Female,No,Yes,Yes,35,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,40.9,1383.6,5691,25-48 Months,0,0.07039940667472037,0,7.04,Low Risk,Monitor
7717-BICXI,Male,No,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1205.05,4020,49+ Months,0,0.003642930162376302,0,0.36,Low Risk,Monitor
0562-FGDCR,Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,4703,49+ Months,0,0.007043952494699633,0,0.7,Low Risk,Monitor
3705-PSNGL,Male,No,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,930.45,5398,25-48 Months,1,0.09460164990610369,0,9.46,Low Risk,Monitor
0048-LUMLS,Male,No,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,5263,25-48 Months,0,0.17136077459638083,0,17.14,Low Risk,Monitor
6497-TILVL,Female,No,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,3097,0-12 Months,0,0.18500016248617374,0,18.5,Low Risk,Monitor
2108-YKQTY,Female,No,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,4930,0-12 Months,1,0.5526288376380143,0,55.26,Medium Risk,Monitor
3658-KIBGF,Female,No,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,2833,0-12 Months,1,0.655532190854035,1,65.55,High Risk,Contract upgrade + Tech Support
5482-NUPNA,Female,No,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,272.15,5730,0-12 Months,1,0.4695058466686029,0,46.95,Medium Risk,Monitor
7410-KTVFV,Male,No,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.55,878.35,2815,13-24 Months,1,0.6014666608938513,0,60.15,Medium Risk,Monitor
9033-EOXWV,Female,No,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,74.05,872.65,4149,0-12 Months,1,0.43182552751387726,0,43.18,Medium Risk,Monitor
8821-XNHVZ,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,2943,0-12 Months,1,0.8807137159193117,1,88.07,High Risk,Contract upgrade + Security offer
8224-KDLKN,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1738.9,4275,49+ Months,0,0.002872687422918669,0,0.29,Low Risk,Monitor
4825-FUREZ,Male,No,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.25,835.5,5940,25-48 Months,0,0.05853995494866281,0,5.85,Low Risk,Monitor
7534-BFESC,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,2018,13-24 Months,1,0.7979316123711593,1,79.79,High Risk,Contract upgrade + Security offer
9138-EFSMO,Male,No,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.95,2034.25,4237,25-48 Months,0,0.18585830352932486,0,18.59,Low Risk,Monitor
4227-OJHAL,Female,No,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73.0,5163.0,4156,49+ Months,0,0.02625345236303851,0,2.63,Low Risk,Monitor
7279-NMVJC,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,2093,13-24 Months,0,0.1401838849784879,0,14.02,Low Risk,Monitor
8591-TKMZH,Male,No,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.1,6555.2,4952,49+ Months,0,0.05590996493620277,0,5.59,Low Risk,Monitor
9283-LZQOH,Male,No,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,3687,13-24 Months,1,0.8377850657046524,1,83.78,High Risk,Contract upgrade + Security offer
3594-IVHJZ,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,42.45,2606,0-12 Months,0,0.4997423510064306,0,49.97,Medium Risk,Monitor
1945-XISKS,Female,No,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1335.2,4994,49+ Months,0,0.013568955508887167,0,1.36,Low Risk,Monitor
4359-INNWN,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,4828,13-24 Months,0,0.14532203804660654,0,14.53,Low Risk,Monitor
7649-SIJJF,Male,No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,6045,49+ Months,0,0.05127122723616573,0,5.13,Low Risk,Monitor
9254-RBFON,Female,No,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,5160,13-24 Months,1,0.5769156404145193,0,57.69,Medium Risk,Monitor
0970-ETWGE,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,4996,0-12 Months,1,0.9157360642136857,1,91.57,High Risk,Contract upgrade + Security offer
7762-ONLJY,Female,No,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,4122,0-12 Months,0,0.06905097714377391,0,6.91,Low Risk,Monitor
6710-HSJRD,Male,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,5239,49+ Months,0,0.7060346842991463,1,70.6,High Risk,Contract upgrade + Security offer
8873-GLDMH,Female,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.85,401.3,4220,0-12 Months,0,0.8371229604115352,1,83.71,High Risk,Contract upgrade + Security offer
9907-SWKKF,Female,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,25.05,4842,0-12 Months,1,0.7503388479637164,1,75.03,High Risk,Contract upgrade + Security offer
4658-HCOHW,Female,No,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.8,2110.15,3123,13-24 Months,1,0.8226387299447461,1,82.26,High Risk,Contract upgrade + Security offer
9330-VOFSZ,Female,No,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,6640.7,5942,49+ Months,0,0.279720335046134,0,27.97,Low Risk,Monitor
2860-RANUS,Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,3336,13-24 Months,1,0.8021234588526375,1,80.21,High Risk,Contract upgrade + Security offer
6234-PFPXL,Male,No,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,3207,13-24 Months,0,0.6459853325714492,1,64.6,High Risk,Offer contract upgrade
7205-BAIAD,Female,No,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,3091,25-48 Months,0,0.04218748871131768,0,4.22,Low Risk,Monitor
3858-VOBET,Male,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,5897,13-24 Months,1,0.8159553528089671,1,81.6,High Risk,Contract upgrade + Security offer
5103-MHMHY,Female,No,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,4563,0-12 Months,1,0.24623063250211305,0,24.62,Low Risk,Monitor
6119-SPUDB,Male,No,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,38.25,1755.35,2653,25-48 Months,0,0.04972864446070679,0,4.97,Low Risk,Monitor
9389-ACWBI,Female,No,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.95,320.4,3850,0-12 Months,0,0.41924203067948934,0,41.92,Medium Risk,Monitor
3454-JFUBC,Male,Yes,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.0,1396.0,6136,49+ Months,0,0.013976296924760137,0,1.4,Low Risk,Monitor
1768-ZAIFU,Female,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,5688,0-12 Months,1,0.8572500379900287,1,85.73,High Risk,Contract upgrade + Security offer
7017-VFULY,Female,No,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.1,43.15,4158,0-12 Months,0,0.49034836284887495,0,49.03,Medium Risk,Monitor
9221-OTIVJ,Female,Yes,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,2292,13-24 Months,1,0.8861558672853577,1,88.62,High Risk,Contract upgrade + Security offer
2482-CZGBB,Male,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740.0,3156,0-12 Months,1,0.8332416800160088,1,83.32,High Risk,Contract upgrade + Security offer
7018-WBJNK,Male,No,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,5566,13-24 Months,0,0.44389146320939055,0,44.39,Medium Risk,Monitor
3331-HQDTW,Female,No,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,3410,25-48 Months,1,0.6823006401896773,1,68.23,High Risk,Contract upgrade + Tech Support
4695-VADHF,Male,No,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,2989,13-24 Months,1,0.6784336376928214,1,67.84,High Risk,Contract upgrade + Security offer
4086-WITJG,Male,No,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1301.1,4808,49+ Months,0,0.0021436292229548683,0,0.21,Low Risk,Monitor
6297-NOOPG,Female,No,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.5,7752.05,5979,49+ Months,0,0.31388757360317754,0,31.39,Low Risk,Monitor
8777-PVYGU,Female,No,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,4405,49+ Months,0,0.15929246743343142,0,15.93,Low Risk,Monitor
4378-MYPGO,Male,No,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.25,7173.15,5795,49+ Months,0,0.04322611586396159,0,4.32,Low Risk,Monitor
9313-CDOGY,Male,No,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.6,717.3,3854,25-48 Months,0,0.0541082715157986,0,5.41,Low Risk,Monitor
4121-AGSIN,Female,No,Yes,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.5,1497.9,4455,49+ Months,0,0.06447089716531033,0,6.45,Low Risk,Monitor
0432-CAJZV,Male,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,3953,0-12 Months,0,0.8321236852528222,1,83.21,High Risk,Contract upgrade + Security offer
9097-ZUBYC,Male,No,Yes,No,14,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),48.8,664.4,2168,13-24 Months,0,0.4802645269453822,0,48.03,Medium Risk,Monitor
9638-JIQYA,Male,No,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.9,49.7,4033,0-12 Months,0,0.7884851582278103,1,78.85,High Risk,Contract upgrade + Security offer
1024-GUALD,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,4851,0-12 Months,1,0.8842840690500822,1,88.43,High Risk,Contract upgrade + Security offer
